IMPORTANTE,cod_universidad,des_universidad,curso_academico,des_tipo_programa_mov,cod_programa_movilidad,des_programa_movilidad,cod_pais_nacionalidad,des_pais_nacionalidad,lat_pais_nacionalidad,lon_pais_nacionalidad,cod_continente_nacionalidad,des_continente_nacionalidad,cod_agregacion_paises_nacionalidad,des_agregacion_paises_nacionalidad,anio_nacimiento,des_genero,des_nivel_formativo,cod_universidad_procedencia,des_universidad_procedencia,des_ambito_univ_procedencia,cod_municipio_univ_procedencia,des_municipio_univ_procedencia,cod_pais_univ_procedencia,des_pais_univ_procedencia,lat_pais_univ_procedencia,lon_pais_univ_procedencia,cod_continente_univ_procedencia,des_continente_univ_procedencia,cod_agregacion_paises_univ_procedencia,des_agregacion_paises_univ_procedencia,cod_municipio_destino,des_municipio_destino,cod_comunidad_destino,des_comunidad_destino,cod_provincia_destino,des_provincia_destino,lat_municipio_destino,lon_municipio_destino,des_ambito_univ_destino,mes_inicio_programa,mes_fin_programa
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1989,Hombre,Grado-Ciclos,USA-MARYLAND,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2020-01-01T01:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,USA-MARYLAND,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-01-01T01:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,2000,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,2000,Hombre,Grado-Ciclos,USA-NEW-MEXI,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,777777777777,OTRA-UNIVERSIDAD-FUERA-DE-LA-UE,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,USA-SUNY,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28074,LEGANES,13,Madrid,28,Madrid,40.32642,-3.758988,,2019-09-01T00:00Z,2019-12-01T01:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,777777777777,OTRA-UNIVERSIDAD-FUERA-DE-LA-UE,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,777777777777,OTRA-UNIVERSIDAD-FUERA-DE-LA-UE,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2020-01-01T01:00Z,2020-05-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,USA-RICHMOND,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2019-12-01T01:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2020-01-01T01:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,2000,Hombre,Grado-Ciclos,USA-SANDIEGO,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,,USA-PURDUE,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2020-01-01T01:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,2000,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,USA-WISCMADI,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,USA-SUNY,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28074,LEGANES,13,Madrid,28,Madrid,40.32642,-3.758988,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28074,LEGANES,13,Madrid,28,Madrid,40.32642,-3.758988,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,USA-CASE-WES,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,USA-LONG-BEA,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1998,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,USA-IOWA,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,777777777777,OTRA-UNIVERSIDAD-FUERA-DE-LA-UE,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1997,Hombre,Grado-Ciclos,777777777777,OTRA-UNIVERSIDAD-FUERA-DE-LA-UE,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2020-01-01T01:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,777777777777,OTRA-UNIVERSIDAD-FUERA-DE-LA-UE,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1997,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28074,LEGANES,13,Madrid,28,Madrid,40.32642,-3.758988,,2020-01-01T01:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,USA-MARYLAND,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2020-01-01T01:00Z,2020-07-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,USA-BOULDER,,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28074,LEGANES,13,Madrid,28,Madrid,40.32642,-3.758988,,2019-09-01T00:00Z,2020-06-01T02:00Z
LOS-DATOS-DE-ESTA-FILA-NO-CORRESPONDEN-A-UN-SOLO-INDIVIDUO-PARA-INTERPRETAR-CORRECTAMENTE-CONSULTE-https:--www.universidata.es-anonimizacion,036,Universidad-Carlos-III-de-Madrid,2019-20,Estudios-y-o-proyecto-fin-de-grado,84,Otras-Fuera-de-la-UE,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,1999,Hombre,Grado-Ciclos,999999999999,DESCONOCIDO,,,,840,Estados-Unidos-de-America,37.09024,-95.712891,019,Americas,021,America-septentrional,28065,GETAFE,13,Madrid,28,Madrid,40.30498,-3.732677,,2019-09-01T00:00Z,2020-06-01T02:00Z
